vlUnitario,qtMaterial,cdMaterial,cdEmbalagem,qtEquivalencia
16.064,20,449,1,1
14.252,70,449,1,1
14.99,30,449,1,1
14.252,130,449,1,1
14.252,80,449,1,1
161.9,6,449,1,1
14.252,100,449,1,1
14.99,50,449,1,1
14.252,40,449,1,1
16.19,300,449,1,1
14.99,150,449,1,1
16.124,100,449,1,1
14.252,20,449,1,1
13.15,60,449,1,1
16.124,80,449,1,1
14.252,50,449,1,1
14.99,20,449,1,1
16.124,80,449,1,1
16.124,40,449,1,1
16.124,100,449,1,1
14.99,10,449,1,1
14.99,30,449,1,1
16.03,50,449,1,1
16.124,60,449,1,1
14.99,70,449,1,1
14.252,300,449,1,1
14.252,40,449,1,1
16.03,20,449,1,1
149.9,3,449,1,1
13.15,40,449,1,1
16.19,50,449,1,1
16.124,120,449,1,1
14.252,50,449,1,1
16.124,200,449,1,1
14.99,720,449,1,1
16.124,80,449,1,1
161.9,30,449,1,1
16.124,70,449,1,1
14.252,50,449,1,1
14.252,100,449,1,1
16.19,100,449,1,1
16.124,80,449,1,1
14.99,20,449,1,1
14.252,50,449,1,1
16.19,80,449,1,1
14.99,20,449,1,1
16.124,100,449,1,1
142.52,150,449,5,10
16.064,100,449,1,1
14.252,120,449,1,1
14.99,80,449,1,1
142.52,3,449,1,1
14.99,100,449,1,1
14.99,80,449,1,1
13.15,80,449,1,1
14.99,120,449,1,1
14.99,30,449,1,1
13.15,70,449,1,1
14.99,10,449,1,1
14.99,30,449,1,1
142.52,6,449,1,1
16.523,20,449,1,1
14.99,80,449,1,1
161.24,11,449,1,1
14.252,140,449,1,1
14.99,60,449,1,1
13.15,60,449,1,1
14.252,40,449,1,1
